Unnamed: 0,S1(换乘站),S2,S3(换乘站),S4,S5(换乘站),S6,S7(换乘站),S8(换乘站),S9,S10,S11,S12(换乘站),S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
08:06:50,11,4,3,1,12,3,7,10,2,1,2,6,2,1,1,0,0,0,1,1,0,0
08:07:00,4,12,8,1,12,8,7,3,2,2,2,2,2,1,2,0,0,1,0,0,0,0
08:07:10,4,4,3,1,4,3,2,3,2,1,7,6,6,1,1,0,0,0,0,0,0,0
08:07:20,11,4,3,4,4,3,2,10,5,1,2,7,2,2,1,0,0,0,0,1,0,0
08:07:30,11,12,3,1,4,3,7,3,2,2,7,2,6,5,1,0,0,1,0,0,0,0
08:07:40,4,12,8,1,4,3,2,10,2,1,2,2,2,2,2,0,0,0,0,0,0,0
08:07:50,4,4,3,4,12,8,2,10,5,3,7,7,2,1,2,0,0,0,0,1,0,0
08:08:00,4,4,3,1,4,8,7,3,2,2,2,2,2,5,1,0,0,0,0,0,0,0
08:08:10,4,12,8,1,12,3,2,3,5,1,2,6,2,2,1,0,0,1,0,1,0,0
08:08:20,4,4,3,1,12,3,7,3,5,1,2,2,6,2,3,0,0,0,0,0,0,0
08:08:30,11,4,8,1,12,3,2,10,2,1,2,2,6,2,1,0,0,0,0,0,0,0
08:08:40,4,4,8,1,4,8,2,10,2,1,2,2,2,5,3,0,0,1,1,1,0,0
08:08:50,4,4,3,1,4,3,7,3,5,1,2,2,2,2,1,0,0,0,1,0,0,0
08:09:00,11,4,3,1,12,3,2,10,5,1,2,6,2,5,2,0,0,0,0,0,0,0
08:09:10,4,4,3,1,4,3,7,3,5,1,7,2,2,5,2,0,0,0,1,0,0,0
08:09:20,11,12,3,4,4,3,2,3,2,1,3,2,2,5,1,0,0,0,1,0,0,0
08:09:30,4,12,3,1,4,8,7,3,5,1,3,2,6,2,3,0,0,0,1,0,0,0
08:09:40,4,4,8,1,4,3,2,3,2,1,3,2,6,2,1,0,0,1,1,1,0,0
08:09:50,4,4,3,1,4,3,2,3,2,1,3,2,2,2,3,0,0,0,0,0,0,0
08:10:00,4,12,3,1,4,3,7,3,2,1,7,2,2,2,1,0,0,0,0,0,0,0
08:10:10,11,4,3,1,12,8,2,10,2,1,3,2,6,2,3,0,0,0,0,1,0,0
08:10:20,11,4,8,4,4,8,2,3,5,1,7,2,2,2,3,0,0,0,0,0,0,0
08:10:30,11,4,8,1,4,3,2,10,2,2,3,6,6,5,1,0,0,0,1,1,0,0
08:10:40,11,4,8,2,13,3,2,4,2,1,3,2,2,2,1,1,0,1,1,1,0,0
08:10:50,4,12,3,1,4,3,3,10,2,1,7,7,2,5,1,0,1,0,0,0,0,0
08:11:00,4,4,3,4,4,3,7,4,5,1,3,2,2,2,3,1,0,1,1,0,0,0
08:11:10,4,12,8,2,4,8,7,4,2,1,3,2,6,2,3,1,0,1,1,0,0,0
08:11:20,4,4,3,1,13,9,3,4,5,3,3,2,2,2,1,0,0,1,1,0,0,0
08:11:30,11,4,3,1,13,3,7,3,2,1,3,7,2,5,1,0,0,1,1,0,0,0
08:11:40,4,12,3,1,4,8,7,4,2,1,7,2,6,2,1,0,1,0,1,1,0,0
08:11:50,4,12,3,1,4,3,3,4,2,3,3,2,6,2,1,1,0,1,1,1,0,0
08:12:00,4,12,3,1,4,8,3,4,2,3,3,7,2,2,1,0,0,1,1,0,0,0
08:12:10,4,4,8,1,13,8,7,10,5,1,3,2,6,2,1,0,1,1,1,0,0,0
08:12:20,11,4,8,4,13,3,7,10,2,1,3,2,2,2,1,0,1,1,1,0,0,0
08:12:30,4,4,3,4,4,3,3,3,2,1,3,7,2,2,1,0,1,0,1,0,0,0
08:12:40,11,4,3,1,13,8,7,3,2,3,3,2,2,5,1,1,1,1,1,1,0,0
08:12:50,4,12,3,4,13,3,3,3,2,1,3,2,2,2,3,0,0,1,1,0,0,0
08:13:00,4,4,3,4,4,8,3,4,5,1,7,2,2,5,1,0,0,0,1,0,0,0
08:13:10,4,4,3,4,4,3,7,3,5,3,3,7,6,2,1,0,0,0,1,1,0,0
08:13:20,4,4,8,1,4,3,2,3,5,1,7,2,2,2,1,0,1,1,0,0,0,0
08:13:30,4,4,3,1,4,8,2,3,2,1,3,2,2,5,1,1,0,0,0,1,0,0
08:13:40,11,4,3,1,4,3,2,3,2,1,7,2,6,5,3,0,0,1,0,1,0,0
08:13:50,11,12,3,4,4,3,7,3,2,1,3,7,2,2,1,0,1,0,1,1,0,0
08:14:00,4,4,3,1,13,3,2,3,5,1,3,7,2,2,1,1,0,0,1,0,0,0
08:14:10,4,12,3,4,4,8,7,3,2,1,7,2,2,2,1,0,0,1,0,0,0,0
08:14:20,11,4,3,1,13,3,2,3,2,1,3,2,2,2,1,0,0,0,1,0,0,0
08:14:30,4,12,3,1,4,3,2,3,2,1,3,2,2,5,1,0,0,1,0,0,0,0
08:14:40,4,4,3,1,4,8,3,10,5,1,3,7,2,2,3,1,0,0,0,0,0,0
08:14:50,4,12,3,4,13,3,2,10,5,3,3,7,2,2,1,1,0,1,1,0,0,0
08:15:00,5,11,4,1,19,3,10,14,5,1,2,10,5,1,2,0,0,0,0,0,0,0
08:15:10,5,4,4,4,6,8,4,5,2,1,2,10,2,1,1,1,0,1,0,0,0,0
08:15:20,17,4,4,1,7,3,4,5,5,1,2,3,2,1,1,1,0,0,1,0,0,0
08:15:30,17,11,4,4,7,3,4,5,2,2,6,3,2,5,2,1,0,0,0,0,0,0
08:15:40,5,11,4,1,6,3,4,5,2,1,2,3,2,5,1,0,0,0,0,0,0,0
08:15:50,17,4,4,1,6,8,3,5,2,2,2,3,5,5,1,1,0,1,0,0,0,0
08:16:00,5,4,12,1,6,3,10,14,2,1,7,3,5,1,1,0,0,1,0,0,0,0
08:16:10,5,11,4,4,6,8,10,5,2,1,2,3,2,1,1,1,0,1,1,0,0,0
08:16:20,5,4,4,1,6,8,3,5,2,1,2,3,2,1,2,0,0,0,0,1,0,0
08:16:30,5,4,4,4,6,8,10,5,5,1,7,3,5,1,1,0,0,0,0,1,0,0
08:16:40,17,11,4,1,19,3,3,14,2,1,2,10,5,1,1,0,0,0,0,0,0,0
08:16:50,17,11,4,1,6,3,10,5,5,1,2,10,5,1,2,1,0,0,1,0,0,0
08:17:00,5,4,13,1,19,3,4,5,2,2,2,10,5,5,1,0,0,0,0,0,0,0
08:17:10,5,4,4,1,6,3,4,5,2,2,2,10,2,5,2,1,0,0,0,0,0,0
08:17:20,5,4,13,4,6,3,4,14,5,1,2,3,2,5,1,0,0,1,1,1,0,0
08:17:30,5,11,4,1,19,3,3,5,2,1,7,10,5,1,1,0,0,0,0,0,0,0
08:17:40,5,4,13,1,6,3,10,14,2,2,2,3,2,1,1,0,0,0,1,0,0,0
08:17:50,17,4,13,1,19,3,3,5,2,1,2,3,5,5,1,0,0,0,0,0,0,0
08:18:00,5,4,13,1,6,3,3,5,2,2,7,10,2,1,1,0,0,0,0,0,0,0
08:18:10,5,4,4,4,6,3,10,5,2,1,2,3,2,1,1,1,0,1,0,0,0,0
08:18:20,5,4,13,1,6,3,10,5,2,2,2,3,2,1,1,1,0,0,0,1,0,0
08:18:30,17,4,4,4,6,3,3,5,2,1,7,3,2,5,1,0,0,1,0,0,0,0
08:18:40,5,11,4,1,19,3,10,5,2,1,2,3,2,5,2,1,0,0,0,1,0,0
08:18:50,5,4,4,1,19,8,3,5,5,2,2,10,5,1,1,0,0,1,1,0,0,0
08:19:00,17,11,4,1,19,3,3,5,2,2,2,3,2,1,1,0,0,0,0,0,0,0
08:19:10,5,4,4,1,6,3,10,14,5,2,2,3,2,1,1,0,0,1,0,0,0,0
08:19:20,17,11,13,1,6,3,3,5,2,1,7,3,2,1,2,0,0,0,0,0,0,0
08:19:30,17,4,4,1,6,3,10,5,5,1,2,10,2,5,2,1,0,0,1,0,0,0
08:19:40,5,4,13,4,19,8,3,5,5,1,2,3,5,5,2,0,0,0,1,0,0,0
08:19:50,5,4,4,1,6,3,10,5,2,1,2,10,2,1,2,0,0,0,0,1,0,0
08:20:00,17,11,4,4,6,3,3,5,5,1,7,3,5,5,2,0,0,0,0,1,0,0
08:20:10,5,11,13,1,6,3,3,5,2,1,2,3,2,5,1,0,0,0,0,1,0,0
08:20:20,6,4,4,4,6,9,3,5,6,1,2,10,2,5,1,0,0,0,0,0,0,0
08:20:30,6,11,13,1,6,3,3,5,2,1,2,10,2,1,2,0,0,1,1,0,0,0
08:20:40,17,4,4,1,19,9,3,5,6,1,2,10,5,1,1,0,0,1,0,0,0,0
08:20:50,5,4,4,1,6,9,10,15,2,1,2,10,2,5,1,1,0,0,0,0,0,0
08:21:00,5,11,13,1,6,3,3,5,2,2,2,10,5,1,1,0,0,0,0,0,0,0
08:21:10,17,4,13,1,6,3,10,15,2,1,7,3,2,1,1,0,0,0,0,1,0,0
08:21:20,17,11,4,1,6,3,3,5,2,2,2,3,2,1,1,0,0,0,0,0,0,0
08:21:30,5,4,4,1,6,3,3,15,2,1,2,3,2,1,2,0,0,0,0,0,0,0
08:21:40,17,11,4,4,6,3,3,5,2,2,2,3,2,1,1,0,0,0,0,0,0,0
08:21:50,5,11,13,4,6,3,3,15,2,2,7,10,5,1,1,0,0,1,0,1,0,0
08:22:00,5,4,13,1,6,9,4,5,2,1,2,3,2,5,2,0,0,0,1,0,0,0
08:22:10,5,4,13,4,6,3,4,5,2,1,2,10,5,1,1,0,0,0,1,1,0,0
08:22:20,5,4,4,4,6,9,4,5,6,2,2,3,2,1,1,0,0,1,0,1,0,0
08:22:30,5,4,4,1,6,3,4,15,2,1,7,3,2,1,2,1,0,0,0,0,0,0
08:22:40,5,4,4,4,19,9,10,15,6,2,7,3,6,5,1,1,0,0,0,1,0,0
08:22:50,17,4,13,1,19,3,10,14,2,1,2,3,6,1,1,0,0,1,0,0,0,0
08:23:00,17,4,4,1,6,3,10,14,2,1,2,3,2,5,1,0,0,1,1,0,0,0
08:23:10,17,4,4,1,7,3,4,15,2,1,2,3,2,2,1,1,0,0,1,0,0,0
08:23:20,17,4,4,1,7,3,4,5,2,1,2,3,5,2,1,1,0,1,1,1,0,0
08:23:30,6,4,12,1,7,3,4,5,2,1,2,10,2,2,1,1,0,1,1,0,0,0
08:23:40,6,4,4,4,19,9,10,5,6,2,2,10,6,1,2,0,0,0,1,0,0,0
08:23:50,6,4,4,1,7,3,4,5,2,1,7,3,2,2,1,0,0,1,1,0,0,0
08:24:00,6,4,4,4,19,9,4,5,5,1,7,3,6,2,1,1,0,0,1,0,0,0
08:24:10,6,11,12,4,7,3,10,14,2,2,7,3,2,2,1,0,0,1,1,0,0,0
08:24:20,6,4,4,4,19,3,4,14,2,1,2,3,2,2,1,0,0,0,1,0,0,0
08:24:30,17,4,4,4,7,3,10,5,2,1,7,3,6,2,2,1,0,0,0,0,0,0
08:24:40,17,4,12,4,19,3,4,15,2,1,7,3,2,5,2,0,0,0,0,0,0,0
08:24:50,6,4,4,1,7,3,4,5,2,2,7,10,2,2,1,0,0,0,0,0,0,0
08:25:00,17,11,4,1,19,9,4,5,2,1,2,3,2,2,2,0,0,0,0,0,0,0
08:25:10,17,4,12,4,7,9,4,5,2,2,2,3,6,1,2,0,0,1,1,0,0,0
08:25:20,6,4,4,1,19,3,4,5,2,1,2,3,2,5,1,0,0,0,1,0,0,0
08:25:30,6,11,4,4,7,3,4,15,2,1,6,10,2,5,2,0,0,1,0,0,0,0
08:25:40,6,4,4,2,7,9,10,5,6,3,2,4,2,2,1,1,0,1,1,0,0,0
08:25:50,6,4,4,2,7,9,4,5,2,2,7,4,6,2,1,1,0,1,1,0,0,0
08:26:00,6,4,4,2,7,3,10,15,6,1,7,4,2,2,1,1,0,1,1,1,0,0
08:26:10,17,4,4,2,7,3,10,5,2,1,2,4,2,2,1,1,0,1,1,0,0,0
08:26:20,6,4,4,2,7,3,4,5,6,2,7,4,2,2,1,1,0,1,1,0,0,0
08:26:30,6,4,4,4,19,3,10,5,6,1,2,3,2,5,1,1,0,1,1,0,0,0
08:26:40,6,12,13,4,7,9,4,5,6,1,2,10,2,5,1,0,0,1,1,0,0,0
08:26:50,6,4,4,4,7,3,4,15,2,1,2,10,2,2,1,0,0,0,1,0,0,0
08:27:00,6,4,4,2,7,3,10,5,6,1,7,10,2,2,1,1,0,1,1,1,0,0
08:27:10,6,4,13,1,19,3,4,5,2,1,7,3,2,2,2,1,0,1,1,0,0,0
08:27:20,6,11,13,2,7,9,4,15,2,2,2,3,2,5,3,0,0,1,1,1,0,0
08:27:30,6,4,13,1,7,9,10,5,2,1,2,10,6,2,1,0,0,1,1,0,0,0
08:27:40,6,4,4,2,7,3,4,15,2,1,2,3,2,2,1,0,0,1,1,0,0,0
08:27:50,6,4,4,1,7,9,4,15,2,3,2,3,2,2,1,0,0,1,1,1,0,0
08:28:00,6,4,4,1,19,3,4,5,6,1,2,3,2,2,2,0,0,1,1,0,0,0
08:28:10,17,11,4,1,7,3,4,5,6,1,2,3,2,2,1,0,0,1,1,1,0,0
08:28:20,6,11,13,1,19,3,4,5,6,3,2,10,2,2,1,0,0,0,1,1,0,0
08:28:30,6,4,4,1,7,3,4,15,2,1,7,3,6,2,1,0,0,1,1,0,1,0
08:28:40,6,4,4,1,19,9,10,5,2,3,7,3,2,2,1,1,0,0,1,0,0,0
08:28:50,6,4,4,1,19,9,4,5,2,1,2,3,2,5,1,0,0,1,1,0,0,0
08:29:00,6,12,13,1,19,3,4,5,6,1,2,3,2,2,3,0,0,0,1,1,0,0
08:29:10,17,4,4,4,7,3,4,5,6,1,7,3,6,2,1,0,0,1,1,0,1,0
08:29:20,17,4,4,1,19,3,4,15,2,1,2,3,2,2,3,1,0,0,1,1,1,0
08:29:30,6,12,4,1,19,9,4,5,2,1,2,3,2,2,1,0,1,0,1,0,1,0
08:29:40,6,12,4,1,7,9,4,5,2,1,2,3,2,5,1,1,1,1,1,1,0,0
08:29:50,6,4,4,1,7,3,4,15,2,1,2,3,2,5,3,0,1,0,1,0,0,0
08:30:00,8,3,17,1,8,3,4,6,5,1,2,13,5,4,2,0,0,0,0,0,0,0
08:30:10,8,3,5,1,26,3,14,19,5,2,2,13,2,1,2,1,0,0,0,0,0,0
08:30:20,8,3,17,1,26,9,4,6,5,1,7,4,2,1,1,0,0,1,0,0,0,0
08:30:30,8,11,5,3,26,3,4,6,5,1,3,4,5,1,2,0,0,1,1,0,0,0
08:30:40,8,3,5,1,26,10,4,6,2,1,2,4,2,1,2,0,0,1,0,1,0,0
08:30:50,23,3,17,1,8,3,14,6,5,1,2,13,2,1,1,1,0,0,0,0,0,0
08:31:00,23,3,5,1,8,3,4,6,2,2,2,4,5,4,2,0,0,0,0,0,0,0
08:31:10,8,3,5,3,8,3,14,6,2,1,2,13,2,1,1,0,0,0,0,0,0,0
08:31:20,7,3,5,3,8,3,14,6,5,1,2,4,6,1,2,1,0,0,0,1,0,0
08:31:30,8,3,5,1,8,3,14,6,2,2,3,4,5,4,1,0,0,1,1,0,0,0
08:31:40,7,3,17,1,26,3,4,18,2,1,2,4,5,1,2,0,0,0,0,0,0,0
08:31:50,23,11,5,1,26,10,4,19,2,1,3,4,2,4,1,0,0,0,1,1,0,0
08:32:00,23,11,17,3,8,3,4,6,2,1,7,4,2,4,1,0,0,1,0,0,0,0
08:32:10,7,3,5,3,8,3,14,6,2,1,3,4,2,1,0,0,0,0,0,0,0,0
08:32:20,7,3,17,1,8,3,4,6,5,2,3,13,5,4,1,0,0,0,1,0,0,0
08:32:30,8,3,17,1,8,10,14,6,5,1,2,13,5,1,1,0,0,0,1,1,0,0
08:32:40,7,3,5,1,26,3,4,6,5,2,2,4,6,1,2,0,0,0,0,0,0,0
08:32:50,7,11,5,1,8,3,4,6,5,1,2,4,2,1,1,0,0,1,1,0,0,0
08:33:00,7,3,5,3,26,3,4,19,2,2,2,4,2,1,1,0,0,0,0,0,0,0
08:33:10,7,11,17,3,8,3,4,6,2,2,2,4,2,1,2,0,0,0,0,0,0,0
08:33:20,7,3,17,1,26,3,4,6,2,1,2,4,2,4,1,0,0,0,0,1,0,0
08:33:30,23,3,5,1,8,3,14,19,2,1,2,4,6,1,1,0,0,1,0,1,0,0
08:33:40,23,3,17,1,8,3,14,19,2,1,2,4,2,1,1,0,0,0,1,1,0,0
08:33:50,7,3,5,1,8,10,14,19,2,2,2,4,6,1,1,0,0,0,0,0,0,0
08:34:00,7,3,5,1,8,3,4,6,2,2,2,4,2,4,1,1,0,0,0,0,0,0
08:34:10,23,11,5,1,8,10,4,19,2,1,2,4,2,1,1,0,0,0,0,0,0,0
08:34:20,7,11,5,1,8,10,4,6,2,2,2,4,6,1,1,0,0,1,1,1,0,0
08:34:30,7,11,5,1,26,3,4,19,2,1,2,13,2,1,1,1,0,0,0,1,0,0
08:34:40,7,11,17,1,8,10,4,19,2,1,2,4,2,1,2,1,0,0,0,0,0,0
08:34:50,7,11,5,4,8,10,4,6,2,2,2,4,6,1,1,0,0,0,1,0,0,0
08:35:00,23,3,5,1,8,3,4,6,5,1,7,4,6,4,1,0,0,1,0,0,0,0
08:35:10,23,3,5,3,26,10,4,19,2,2,2,4,6,1,1,0,0,0,0,0,0,0
08:35:20,8,4,5,1,26,3,4,6,2,1,2,13,2,4,1,0,0,0,0,0,0,0
08:35:30,8,11,5,1,26,3,4,6,2,2,2,13,2,1,2,1,0,0,1,0,0,0
08:35:40,23,4,5,3,26,3,4,6,2,1,7,4,2,1,1,0,0,0,1,0,0,0
08:35:50,7,3,5,1,9,3,4,6,2,1,2,4,2,4,2,0,0,0,1,0,0,0
08:36:00,23,11,5,1,9,3,4,6,2,1,7,4,2,4,1,0,0,0,0,0,0,0
08:36:10,8,11,5,1,9,10,4,19,5,2,3,13,2,1,2,1,0,1,0,0,0,0
08:36:20,8,11,17,1,9,3,4,6,5,1,3,4,2,1,1,1,0,0,0,0,0,0
08:36:30,7,3,5,1,26,10,14,6,2,1,2,13,6,4,2,1,0,1,1,0,0,0
08:36:40,23,3,5,1,8,3,4,6,2,1,3,4,2,1,1,1,0,0,0,0,0,0
08:36:50,8,11,5,1,26,3,4,6,2,1,2,4,2,1,1,1,0,0,0,0,0,0
08:37:00,23,3,5,1,8,10,14,6,2,1,2,4,2,4,1,0,0,0,0,0,0,0
08:37:10,8,3,6,3,8,3,5,6,5,1,2,4,2,1,1,0,0,0,1,0,0,0
08:37:20,23,3,5,3,8,10,14,6,2,1,7,4,2,1,1,0,0,0,0,0,0,0
08:37:30,23,3,6,1,8,10,5,19,2,2,2,4,2,5,1,1,0,1,0,0,0,0
08:37:40,23,3,6,1,8,10,4,19,5,1,7,13,2,2,1,0,0,1,0,0,0,0
08:37:50,8,4,6,1,26,10,14,19,2,1,7,13,2,2,1,0,0,0,0,0,0,0
08:38:00,23,4,6,3,9,10,4,6,5,1,3,4,2,5,1,0,0,0,0,0,0,0
08:38:10,8,4,5,1,9,3,14,6,2,2,3,4,2,2,1,0,0,0,1,0,0,0
08:38:20,8,4,5,3,9,3,14,6,2,1,7,4,2,2,2,0,0,1,0,0,0,0
08:38:30,8,4,5,1,26,3,5,6,5,1,7,13,2,2,1,0,0,0,0,0,0,0
08:38:40,23,4,17,3,9,3,4,6,2,1,7,13,2,2,1,0,0,1,1,0,0,0
08:38:50,8,4,17,1,8,10,5,19,5,1,7,13,2,2,1,0,0,0,0,0,0,0
08:39:00,8,4,17,3,26,10,4,6,2,1,3,4,6,5,1,0,0,0,0,0,0,0
08:39:10,8,11,17,1,9,3,14,6,2,1,3,13,2,2,1,0,0,0,0,0,0,0
08:39:20,23,4,6,1,26,3,4,6,2,1,7,4,2,2,2,0,0,0,0,0,0,0
08:39:30,8,4,5,1,9,3,14,6,2,1,3,4,2,2,1,0,0,1,0,0,0,0
08:39:40,8,4,5,1,9,9,14,6,2,1,3,4,2,2,1,0,0,0,0,0,0,0
08:39:50,8,4,17,1,9,3,4,19,2,1,3,4,6,5,1,0,0,1,0,0,0,0
08:40:00,8,11,5,1,9,3,4,6,5,1,3,4,6,5,2,0,0,1,0,0,0,0
08:40:10,8,4,6,1,9,9,4,18,5,1,7,13,2,2,2,0,0,1,1,0,0,0
08:40:20,8,11,17,1,9,9,4,6,5,1,7,4,6,5,2,0,0,0,1,0,0,0
08:40:30,8,4,5,1,9,3,4,6,2,2,3,4,2,5,1,0,0,0,0,0,0,0
08:40:40,8,11,17,4,9,3,5,19,5,3,3,5,2,5,2,0,0,1,1,0,0,0
08:40:50,23,4,6,1,9,3,5,6,2,1,3,4,2,2,1,0,0,1,1,0,0,0
08:41:00,23,4,6,1,26,3,5,19,2,1,3,5,6,2,2,0,0,1,0,0,0,0
08:41:10,8,4,17,1,9,3,14,6,5,3,7,13,6,2,1,1,0,1,1,0,0,0
08:41:20,8,4,6,1,9,3,14,19,2,2,3,5,6,2,2,1,0,1,1,1,0,0
08:41:30,8,4,6,4,9,3,5,6,2,1,7,5,2,2,2,1,0,1,1,1,0,0
08:41:40,8,4,6,4,9,3,14,6,2,1,3,13,2,2,1,0,0,1,1,1,0,0
08:41:50,23,11,17,4,26,3,5,6,2,2,3,5,2,5,1,0,0,1,1,0,0,0
08:42:00,8,4,6,1,9,3,5,6,6,1,3,13,2,2,1,1,0,1,1,0,0,0
08:42:10,8,11,17,1,9,3,5,19,5,2,7,13,2,2,1,0,0,1,1,1,0,0
08:42:20,8,4,6,4,9,3,5,19,2,1,7,5,6,2,1,0,0,1,1,0,0,0
08:42:30,23,4,17,1,9,10,14,6,2,1,7,5,2,2,1,0,0,1,1,1,0,0
08:42:40,8,11,17,1,26,3,14,6,6,1,7,13,6,2,2,0,0,1,1,1,0,0
08:42:50,23,4,6,1,9,10,5,6,2,1,3,4,2,2,1,0,0,1,1,0,0,0
08:43:00,23,4,17,4,9,3,5,19,2,2,7,4,2,5,2,0,0,1,1,1,0,0
08:43:10,8,4,6,4,9,3,5,6,2,1,3,4,2,2,1,0,0,1,1,0,0,0
08:43:20,8,4,6,1,9,3,14,6,2,3,3,13,2,2,2,0,0,1,0,0,0,0
08:43:30,23,11,6,4,9,3,5,19,2,1,3,13,6,2,1,1,1,1,0,0,0,0
08:43:40,8,4,6,1,26,10,5,6,2,2,3,13,2,5,1,0,0,1,1,0,1,0
08:43:50,8,11,6,1,26,10,14,19,2,2,7,4,2,2,1,0,0,1,0,0,0,0
08:44:00,8,4,17,1,26,3,5,19,6,1,7,4,2,5,1,0,1,1,1,0,0,0
08:44:10,8,11,6,1,9,3,5,6,2,1,7,4,2,5,1,0,0,1,0,0,1,0
08:44:20,8,11,6,4,9,3,14,6,2,1,3,13,2,2,1,0,0,1,0,0,1,0
08:44:30,8,4,17,4,26,3,5,6,2,3,3,4,2,2,1,0,0,1,0,1,0,0
08:44:40,23,4,6,4,9,3,5,6,2,1,7,4,6,2,2,1,0,1,0,1,0,0
08:44:50,8,11,6,1,9,3,5,6,2,1,7,4,2,2,1,0,1,1,1,0,1,0
08:45:00,7,3,14,1,8,3,12,6,2,1,2,11,2,4,2,0,0,1,1,0,0,0
08:45:10,21,11,5,4,8,3,4,17,2,2,2,11,2,4,1,0,0,0,0,0,0,0
08:45:20,21,3,5,1,23,3,12,17,2,2,2,11,2,2,2,0,0,0,0,0,0,0
08:45:30,21,11,5,1,23,3,4,17,2,1,2,4,2,2,1,1,0,0,1,0,0,0
08:45:40,7,3,5,1,8,10,12,17,2,1,2,4,2,4,1,0,0,0,0,0,0,0
